Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,2020,2018,46.2575688,5.6555933,Ain,Alfa3a Service Médiation Intégration - Ville d'Oyonnax,https://www.oyonnax.fr/,126 Rue Anatole France,Oyonnax,01100,126 Rue Anatole France Oyonnax 01100 ,Participe à la biennale Traces 2020.,Collectivités Territoriales,,,,Collectivité Territoriale
,,2018,46.2575688,5.6555933,Ain,Les rencontres d'Oyonnax,www.oyonnax.fr,126 Rue Anatole France,Oyonnax,01100,126 Rue Anatole France Oyonnax 01100 ,,,,,,
,2020,2018,45.7588909,4.9257293,Rhône,Vive La TASE !,vivelatase.blogspot.fr,13 avenue bataillon Carmagnole Liberté,Vaulx-en-Velin,69120,13 avenue bataillon Carmagnole Liberté Vaulx-en-Velin 69120 ,"Ancienne usine où sont organisées visites guidées, spectacles, expositions, concerts et performances. Participe à la biennale Traces 2020.",Patrimoine / mémoire,Education /Educ pop,,Culture/Transmission/Patrimoine,Association
,2020,2018,45.6998899,4.881551099999999,Rhône,Centre Associatif Boris Vian (CABV),https://www.cabv.com/,13 Avenue Marcel Paul,Vénissieux,69200,13 Avenue Marcel Paul Vénissieux 69200 ,"Maison entièrement dédiée à la vie associative et centre de ressources pour les bénévoles, le centre Boris Vian accueille des événements lors des biennales Traces.",Equipements culturels / lieux / Champ culturel,,,Vie Associative,Lieu
,,,45.7538115,4.8757838,,ERIS,https://www.eris-formation.org/,13 bis rue Girié,Lyon,69003,13 bis rue Girié Lyon 69003 ,"Propose aux exilés un guide pour se propulser vers un nouvel horizon, passer d’une société à une autre, saisir les clés de son propre devenir. Reconnaître l’autre dans sa différence, tout en garantissant une pédagogie où l’apprenant est moteur, est notre philosophie.",,,,,
,2020,,45.442307,4.384276799999999,Loire,Zangmo,https://ciezangmo.wordpress.com/,13 impasse Ernest Bonnave,Saint-Etienne,42000,13 impasse Ernest Bonnave Saint-Etienne 42000 ,Compagnie théâtrale qui propose également des ateliers de pratiques artistiques. A déjà participé à des événements Traces.,Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,2020,,45.7283954,4.834548499999999,Rhone,Association la Manufacturette,http://www.la-manufacturette.org/,13 rue Benjamin Delessert,Lyon,69007,13 rue Benjamin Delessert Lyon 69007 ,"Sensibiliser un large public aux alternatives écologiques autour de l’habitat. Se veut ambassadrice de solutions éco-responsables en termes d’autonomie énergétique, de convivialité et de simplicité volontaire. Participe à la biennale Traces 2020.",,,,,
,,,45.2367017,4.6756353,Ardèche,Cimade Anonnay,https://www.facebook.com/pageinfocimadeannonay/,13 Rue de Fontanes,Annonay,07100,13 Rue de Fontanes Annonay 07100 ,"La Cimade a pour but de manifester une solidarité active avec les personnes opprimées et exploitées. Elle défend la dignité et les droits des personnes réfugiées et migrantes quelles que soient leurs origines, leurs opinions politiques ou leurs convictions.",Accueil / Accompagnement / solidarités,,,,
,2020,,45.7469504,4.8275673,Rhone,Periscope,http://periscope-lyon.com/,13 rue Delandine,Lyon,69002,13 rue Delandine Lyon 69002 ,"Salle de spectacle alternative, entre laboratoire de musique et cabinet de curiosités sonores. Partenariat avec le réseau Traces sur les thématiques de la musique et la contestation dans les quartiers populaires.",,,,,
,,,44.6186632,4.384799,Ardèche,Cinéma le Navire,https://www.lenavire.fr/aubenas/,13 rue du Dr Louis Pargoire,Aubenas,07200,13 rue du Dr Louis Pargoire Aubenas 07200 ,"Cinéma Art & Essai géré par la scop Le Navire, engagé sur beaucoup de plans, en particulier sur la question de la migration et en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Cinéma,Lieu
,,,45.1860973,5.7116634,Auvergne,Festival cuisine sans frontière,http://www.cuisine-sans-frontieres.fr,13 rue Henri Le Châtelier,Grenoble,38000,13 rue Henri Le Châtelier Grenoble 38000 ,Association de cuisine solidaire et de rencontre des cultures autour des fourneaux (ateliers). Organise un festival chaque année.,,,,,Festival
,2020,2018,45.76832479999999,3.0825646,Auvergne,Cimade Clermont-Ferrand,https://www.facebook.com/LaCimade63/,13 Rue Marmontel,Clermont-Ferrand,63000,13 Rue Marmontel Clermont-Ferrand 63000 ,"La Cimade a pour but de manifester une solidarité active avec les personnes opprimées et exploitées. Elle défend la dignité et les droits des personnes réfugiées et migrantes quelles que soient leurs origines, leurs opinions politiques ou leurs convictions.",Accueil / Accompagnement / solidarités,,,,
,2020,,45.6765041,6.3913138,Savoie ,Dôme Théâtre,http://www.dometheatre.com,135 Place de l'Europe,Albertville,73200,135 Place de l'Europe Albertville 73200 ,Scène associative conventionnée d’intérêt national « Art en territoire ». A reçu des événements lors de partenariats avec le réseau Traces.,Equipements culturels / lieux / Champ culturel,,,,
,2020,,45.6765041,6.3913138,Savoie ,Médiathèque Albertville Ugine,http://mediatheques.arlysere.fr,135 Place de l'Europe,Albertville,73200,135 Place de l'Europe Albertville 73200 ,"Réseau de médiathèques. Programmation en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,,
,2020,2018,45.7470623,4.8357091,Rhône,Africa 50,https://africa50lyon.org/,14 avenue Berthelot,Lyon,69007,14 avenue Berthelot Lyon 69007 ,"« Collectif d’associations pour la promotion des cultures d’Afrique, de la Caraïbe, de l’Océan Indien et amis en Auvergne Rhône-Alpes. » Africa 50 a participé à la Biennale TRACES 2018 en organisant une conférence sur Gabriel ROSSET.",Accueil / Accompagnement / solidarités,,,,Réseau/Collectif
,,,45.7470623,4.8357091,,Réseau Memhora,https://memorha.hypotheses.org,14 Avenue Berthelot,Lyon,69007,14 Avenue Berthelot Lyon 69007 ,"Réseau de lieux dédiés à l'histoire de la Seconde Guerre Mondiale, et de chercheurs en sciences humaines et sociales. Histoire des ",,,,,Reseau
,,2018,45.7470623,4.8357091,Rhône,Centre Max Weber,https://centre-max-weber.fr/,14 Avenue Berthelot,Lyon,69363,14 Avenue Berthelot Lyon 69363 ,"Laboratoire de sociologie généraliste, regroupe un grand nombre de sociologues du site de Lyon-Saint-Étienne. A organisé un séminaire dans le cadre du collectif Images Migrantes.",Recherche,,,Sociologie,Recherche
,,2018,45.7688911,4.9553565,Rhône,Ciné Toboggan,https://letoboggan.com/cinema/,14 avenue Jean Macé,Décines-Charpieu,69150,14 avenue Jean Macé Décines-Charpieu 69150 ,"Cinéma indépendant Art & Essai, engagé sur beaucoup de plans, en particulier sur la question de la migration et en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Cinéma,Lieu
,,,45.1651501,5.7281889,,Laboratoire de Recherhe PACTE,https://www.pacte-grenoble.fr/,14 Avenue Marie Reynoard,Grenoble,38100,14 Avenue Marie Reynoard Grenoble 38100 ,,Recherche,,,,Institution
,,2018,45.7722975,4.826681199999999,Rhône,Acte Public Compagnie,https://actepublic.fr/,14 Place du Lieutenant Morel,Lyon,69001,14 Place du Lieutenant Morel Lyon 69001 ,"Production et diffusion des réalisations de deux artistes lyonnais – Yves Benitah et Patrice Pegeault. Thématiques telles que l’immigration, la transmission, la pédagogie, l’égalité, ou les discriminations. A participé à la construction des biennales Traces.",Artistes/ Collectifs d’artistes,,,Théâtre,Compagnie
,2020,,45.7583898,4.8863184,Rhône,Arve réfugiés,https://www.facebook.com/GA%C3%8FA-Chemins-de-Femmes-1724110294473385/,14 Place Grandclément,Villeurbanne,69100,14 Place Grandclément Villeurbanne 69100 ,Association qui favorise les rencontres interculturelles autour de la création artistique.,Accueil/ Accompagnement / Solidarités,,,,Association,n'exitste plus ?,,45.7682067,4.8596002,2000,ARALIS,,14 place Jules Ferry,Lyon,69006,14 place Jules Ferry Lyon 69006 ,,,,,,
,2020,,45.7550994,4.842148799999999,Rhone,Collectif X,https://www.collectifx.com/l-affaire-correra,14 Rue Basse Combalot,Lyon,69007,14 Rue Basse Combalot Lyon 69007 ,Compagnie théâtrale. Participe à la biennale Traces 2020.,Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,2020,2018,45.7550994,4.842148799999999,Rhône,Théâtre de l'Elysée,https://lelysee.com/,14 Rue Basse combalot,Lyon,69007,14 Rue Basse combalot Lyon 69007 ,"Lieu d’expérimentation théâtrale, de liberté et de contact direct entre les comédiens et le public. Accueil des rencontres Images Migrantes, en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Theatre,Lieu
,,2018,45.7550994,4.842148799999999,Rhône,Festival Sens Interdit,http://sensinterdits.org/,14 rue Basse Combalot,Lyon,69007,14 rue Basse Combalot Lyon 69007 ,"Biennale Internationale de Théâtre sur la métropole lyonnaise et la région Auvergne-Rhône Alpes. Questionne les grands thèmes mémoires, identités, résistances.",Equipements culturels / lieux / Champ culturel,,,Theatre,Festival
,2020,2018,44.9315125,4.8936753,Drôme,CPA ( Centre du Patrimoine Arménien),https://www.le-cpa.com/,14 rue Louis Gallet,Valence,26000,14 rue Louis Gallet Valence 26000 ,"À partir de son exposition permanente, évoque l’histoire des Arméniens venus s’installer dans la Drôme suite au génocide de 1915. Plus largement,  il donne à comprendre l’histoire et l’actualité des migrations et des conflits contemporains. Lieu ressource et partenaire du réseau Traces.",Patrimoine / mémoire,,,Musée/ Ethnopôle,Institution
,2020,2018,44.9315125,4.8936753,Drôme,"Ethnopôle ""Migrations Frontières Mémoires""",https://www.le-cpa.com/le-cpa/ethnopole,14 rue Louis Gallet,Valence,26000,14 rue Louis Gallet Valence 26000 ,,Patrimoine / mémoire,,,Ethnopôle,Institution
,,,45.0435652,5.0543207,,"ASTI Romans",http://astidrome-ardeche.blogspirit.com/,"14, place du Chapitre",Romans-Sur-Isère,26100,"14, place du Chapitre Romans-Sur-Isère 26100 ","Associations de Solidarité avec Tou-te-s les Immigré-e-s. Assurer la défense des étranger(ère)s et immigré(e)s dont les droits ne sont pas respectés, accompagnement juridique et administratif, sensibilisation et lutte contre les discriminations.",,,,,
,,2018,46.25657090000001,5.654747599999999,,Centre Social Est,https://centresocialest.jimdofree.com/,144 Rue Anatole France,Oyonnax,01100,144 Rue Anatole France Oyonnax 01100 ,"En plus de son action de maintien du lien social à l'échelle locale, le Centre Social Est accueille des événements de la biennale Traces.",Education /Educ pop,,,,Centre Social/MJC/Regie
,,,45.1826908,5.7591549,Isère,Cie Noodles,https://cienoodles.wixsite.com/mysite,145 av Ambroise Croizat,St Martin d'Hères,38400,145 av Ambroise Croizat St Martin d'Hères 38400 ,Théatre,Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,,45.7638961,4.8537452,Rhône,Singa Lyon,https://singalyon.fr/,145 cours Lafayette,Lyon,69006,145 cours Lafayette Lyon 69006 ,"Espaces de rencontre entre les personnes réfugiées et la société d’accueil. Favoriser le vivre ensemble, l’enrichissement culturel et la création d’emplois, dans une démarche de sensibilisation visant à déconstruire les préjugés sur l’asile.",,,,,
,,2018,45.1838515,5.7291997,Isère,Nouveau théâtre Sainte-Marie-d’en-Bas,http://www.ntsmb.fr/index.php,15 Allée Jardin Hoche,Grenoble,38000,15 Allée Jardin Hoche Grenoble 38000 ,"Théâtre dont le projet actuel vise à célébrer les « racines d'ailleurs des gens d'ici ». Programmation en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Theatre,Lieu
,,,45.7622864,4.8588195,,RESF Rhône,https://www.educationsansfrontieres.org/spip.php?rubrique27,15 Boulevard Marius Vivier Merle,Lyon,69003,15 Boulevard Marius Vivier Merle Lyon 69003 ,"Le Réseau Éducation Sans Frontière défend les jeunes sans papiers et leurs familles en mobilisant leur entourage, pour un accueil digne, humain et durable. Partenariats au sein du réseau Traces.",,,,,
,,,45.72976569999999,4.8268064,Rhône,Laboratoire Triangle-ENS,http://triangle.ens-lyon.fr/,15 Parvis René Descartes,Lyon,69342,15 Parvis René Descartes Lyon 69342 ,"Laboratoire de recherche pluridisciplinaire Action, discours, pensée politique et économique. Contribue au collectif Images Migrantes, en partenariat avec le réseau Traces.",Recherche,,,Laboratoire de Recherche,Recherche
,,,44.8992608,5.0177722,Drôme,Collectif La Curieuse,https://www.la-curieuse.com/,15 rue des écoles,Chabeuil,26120,15 rue des écoles Chabeuil 26120 ,Production & diffusion de spectacles vivants. Défend également des projets d’actions culturelles par le biais de la diffusion ou encore via des créations participatives. Contribue aux événements du réseau Traces.,Artistes/ Collectifs d’artistes,,,,Collectif
,,2018,44.54444050000001,4.6793509,Ardèche,Le Musée de la résistance et de la déportation en Ardèche,http://www.Ardèche-resistance-deportation.fr/,15 rue du travail,Le Teil,07400,15 rue du travail Le Teil 07400 ,Découvrir l'histoire de la résistance et de la déportation et notamment les spécificités de la région ardéchoise sur ces thématiques. Partenariats réguliers avec le réseau et accueil d'événements.,Patrimoine / mémoire,,,Musée,Institution
,,2018,45.78754259999999,4.9228806,Rhône,MémoireS,,15 rue Franklin,Vaulx-en-Velin,69120,15 rue Franklin Vaulx-en-Velin 69120 ,Association. Organise des événements en lien avec le réseau Traces.,,,,,Association
,,2018,45.1868274,5.7041903,Isère,Cie Les Fées Rosses,http://lesfeesrosses.org/wp-content/uploads/2019/06/gensdici-plaquette2019.pdf,15 rue Georges Jacquet,Grenoble,38000,15 rue Georges Jacquet Grenoble 38000 ,"Association théâtrale militante. Spectacle Forum « Gens d'ici et d'en face », construit à partir de témoignages de femmes victimes de l'injustice raciste de notre société. ",Artistes/ Collectifs d’artistes,,,Compagnie,Compagnie
,,2018,45.1868274,5.7041903,Isère,Culture ailleurs,https://www.cultureailleurs.com,15 Rue Georges Jacquet,Grenoble,38000,15 Rue Georges Jacquet Grenoble 38000 ,"Compagnie artistique (expositions, spectacle vivant, ateliers) multiculturelle (Europe, Afrique de l'Ouest et du Nord). Sensibilisation aux rapport Nord-Sud / Sud-Nord / Sud - Sud, soutien aux initiatives locales.",,,,,
,2020,,45.4345047,4.3864687,Loire,École de l'oralité,http://www.ecoledeloralite.org/,15 rue Henri Gonnard,Saint-Etienne,42000,15 rue Henri Gonnard Saint-Etienne 42000 ,Laboratoire de partage de cultures des patrimoines sonores et musicaux dans toute leur diversité culturelle. Echange par la sensibilisation à l’interculturalité et la pratique artistique collective. Contribue au réseau Traces.,Education /Educ pop,,,,
,2020,,45.4564595,4.3831184,Loire,Agasef – dans le cadre de l’action « Comprendre pour mieux agir »,https://www.agasef.fr,15 rue Léon Blum,Saint-Etienne,42000,15 rue Léon Blum Saint-Etienne 42000 ,"Association de Gestion de l'Action Sociale des Ensembles Familiaux. Responsabilisation des individus et des groupes, afin d'améliorer l'insertion sociale et résoudre les problèmes sociaux. Participe à la biennale Traces 2020.",,,,,
,2020,,45.7499519,4.8577064,Rhone,Carrefour des Cultures Africaines (C.C.A),https://carrefourculturesafricaines.org/,150 Cours Gambetta,Lyon ,69007,150 Cours Gambetta Lyon  69007 ,"Gère un espace de rencontre, d'exposition et de documentation dans le but de promouvoir les cultures et les mémoires des peuples africains à travers les arts. Participe à la biennale Traces 2020.",,,,,
,,,45.710145,4.0248217,,Cie La Cogite,https://lacogite.wixsite.com/lacogite,152 impasse des entreprises,Marcoux,42130,152 impasse des entreprises Marcoux 42130 ,Compagnie de spectacle vivant.Thématiques de la migration et de l'hospitalité. Collaboration au sein du réseau Traces.,Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,,45.7787867,3.1119993,,Wakan Théâtre,http://www.wakantheatre.com,158 Rue Anatole France,Clermont Ferrand,63000,158 Rue Anatole France Clermont Ferrand 63000 ,"Théâtre populaire. Théâtre d'idées, spectacles-promenades autour de thèmes historiques. Thématiques de la migration.",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,2018,44.557199,4.7485056,Drôme,Médiathèque intercommunale de Montélimar,https://mediatheque.montelimar-agglo.fr/,16 Avenue du Général de Gaulle ,Montélimar,26200,16 Avenue du Général de Gaulle  Montélimar 26200 ,"Événements en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Bibliothèque/médiathèque,Lieu
,,2018,44.612075,4.472087999999999,Ardèche,Ardèche Images,http://www.lussasdoc.org/,16 route de l'Échelette,Lussas,07170,16 route de l'Échelette Lussas 07170 ,"Engagée dans le développement du cinéma documentaire de création, Ardèche Images collabore avec Traces sur le collectif Images Migrantes, dans le cadre de leur dispositif Les Toiles du Doc.",Equipements culturels / lieux / Champ culturel,Education /Educ pop,,Cinéma /Formations,Association
,,,45.2372492,4.6730648,Ardèche,SMAC07,https://www.smac07.com/,16 rue de Fontanes,Annonay,07100,16 rue de Fontanes Annonay 07100 ,,,,,,
,2020,,45.67327,6.3890145,Savoie ,G4P,https://assog4p.wixsite.com/g4pfr,16 rue Jacques Porraz,Albertville,73200,16 rue Jacques Porraz Albertville 73200 ,"Faire connaître des projets solidaires dans d'autres pays, et participer à la solidarité internationale. Aider les personnes en difficulté sur le bassin albertvillois. Festival « G4P plante sa tente ».",,,,,,partenaire,,45.4413854,4.3913151,,171 canons,,16 rue Royet,Saint-Etienne,42000,16 rue Royet Saint-Etienne 42000 ,171 canons est un collectif de travailleurs du graphisme qui emprunte son nom à l'arsenal improvisé de la Commune de Paris. Collaboration au sein du réseau Traces.,,,,,
,2020,2018,45.7539994,4.8472507,,Filigrane,http://www.filigrane-rhonealpes.fr/,165 Avenue de Saxe,Lyon,69003,165 Avenue de Saxe Lyon 69003 ,"Rassemble artistes, acteurs socio-éducatifs et chercheurs, au sein de projets de pratique artistique, en prise avec les territoires. Dialogue et valorisation des cultures. Formations « Langues d'ici, langues d'ailleurs » aux biennales Traces.",,,,,
,2020,,45.8182954,4.8992755,,Transmetteurs Rillieux-la-Pape,https://transmetteurs.fr/,165 rue Ampère,Rillieux-la-Pape,69140,165 rue Ampère Rillieux-la-Pape 69140 ,"Transmettre, partager, diffuser les émotions du spectacle vivant, avec vous et au travers d’une saison éclectique. Participe à la biennale Traces 2020.",,,,,
,,,45.8182954,4.8992755,Rhône,Archives Municipales Rillieux la Pape,https://www.rillieuxlapape.fr/culture-et-patrimoine/archives-municipales-408.html,165 rue Ampère,Rillieux-la-Pape,69140,165 rue Ampère Rillieux-la-Pape 69140 ,"Les Archives Municipales de Rillieux-la-Pape sont un des collaborateurs institutionnels de Traces depuis sa création, offrant des traces matérielles des migrations passées.",,,,,Institution
,2020,,45.8182954,4.8992755,Rhône,Ville de Rillieux-la-Pape,https://www.rillieuxlapape.fr/,165 rue Ampère,Rillieux-la-Pape,69140,"165 rue Ampère Rillieux-la-Pape 69140 ",Participe à la biennale Traces 2020.,Collectivités Territoriales,,,,Collectivité Territoriale
,2020,2018,45.7500721,4.8516067,Rhône,Tillandsia,https://tillandsia-video.com/,169 grande rue de la Guillotière,Lyon,69007,169 grande rue de la Guillotière Lyon 69007 ,"Produire des traces de phénomènes sociaux trop souvent ignorés grâce à la réalisation de documentaires cinématographiques et à des travaux de recherche. Construction des rencontres Images Migrantes, réalisation d'un film avec des étudiants étrangers et des mineurs résidant en squat.",Artistes/ Collectifs d’artistes,Journalisme-documentaire (qui peut se mêler avec artistes),?,Cinéma,Association
,2020,2018,45.1661618,5.7327372,Isère,Régie de Quartier Village Olympique-Villeneuve,http://www.regiegrenoble.org/,17 galerie de l'Arlequin,Grenoble,38100,17 galerie de l'Arlequin Grenoble 38100 ,"En plus de son action de maintien du lien social à l'échelle locale, la Régie de Quartier Villeneuve accueille des événements de la biennale Traces.",Education /Educ pop,,,,Centre Social/MJC/Regie
,,,45.1851579,5.7047108,Isère,Cie Barbarins Fourchus/la Salle Noire,http://www.barbarins.com/,17 rue des Arts et Métiers,Grenoble,38000,17 rue des Arts et Métiers Grenoble 38000 ,"Collectif artistique et salle de spectacle. Chanson rétro-moderne, rock, électro, jazz, mais aussi théâtre, cirque ou encore cinéma. Participent à des événements au sein du réseau Traces.",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,2019,,45.7742333,4.892032200000001,Rhône,Centre Social Buers,https://www.buerscroixluizet.fr/,17 Rue Pierre-Joseph Proudhon,Villeurbanne,69100,17 Rue Pierre-Joseph Proudhon Villeurbanne 69100 ,"En plus de son action de maintien du lien social à l'échelle locale, le Centre Social Buers accueille des événements de la biennale Traces.",Education /Educ pop,,,,Centre Social/MJC/Regie
,,2018,45.7579022,4.8732969,Rhône,Caravane des dix mots,https://www.caravanedesdixmots.com/,17 rue Saint-Eusèbe,Lyon,69003,17 rue Saint-Eusèbe Lyon 69003 ,Théâtre - ONG membre d’un réseau international de projets artistiques autour de la langue française et du plurilinguisme. A organisé un atelier à la biennale 2018.,Artistes/ Collectifs d’artistes,Education /Educ pop,,,Association
,,,45.945314,4.762629,Ain,Individu,,178 chemin d’Arras,Trévoux,01600,178 chemin d’Arras Trévoux 01600 ,,,,,,
,2020,2018,45.8035831,3.10877,Auvergne,Cinéma le Rio,http://www.cinemalerio.com/,178 rue Sous les Vignes,Clermont-Ferrand,63100,178 rue Sous les Vignes Clermont-Ferrand 63100 ,"Cinéma de quartier, engagé sur beaucoup de plans, en particulier au travers de son cycle Rencontres d'Ici et d'Ailleurs. Projections en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Cinéma,Lieu
,2020,2018,45.7507186,4.836967,Rhône,Festival Interferences ,https://www.lacitedoc.com/festival-interferences,18 quai Claude Bernard,Lyon,69007,18 quai Claude Bernard Lyon 69007 ,Festival de cinéma documentaire centré sur les échanges et les débats.,Equipements culturels / lieux / Champ culturel,Artistes/ Collectifs d’artistes,,Cinema documentaire,Festival
,,2018,45.7507186,4.836967,Rhône,Université Lumière Lyon 2,https://www.univ-lyon2.fr/,18 quai Claude Bernard,Lyon,69007,18 quai Claude Bernard Lyon 69007 ,"Université de Sciences Humaines et Sociales, sensibilité aux thématiques de la migration, accueil d'événements en partenariat avec le réseau Traces.",Recherche,,,,Institution
,,2018,45.238018,5.888927900000001,Ain,"Espace Aragon, Cinéma Aragon",https://www.espace-aragon.fr/,19 bis Bd Jules Ferry,Villard-Bonnot,38190,19 bis Bd Jules Ferry Villard-Bonnot 38190 ,"Espace culturel comprenant un cinéma, une salle de spectacle et une salle d'exposition. A déjà accueilli des événements du réseau Traces.",Equipements culturels / lieux / Champ culturel,,,,Lieu
,2020,,45.50294419999999,4.2610804,Loire,Un toit c'est tout,,19 Rue Joannes Beaulieu,Saint-Just-Saint-Rambert,42170,19 Rue Joannes Beaulieu Saint-Just-Saint-Rambert 42170 ,"Solidarité avec les déboutés du droit d’asile, une centaine de familles parrainent les loyers, travail de sensibilisation, Festival Migrations. ",Accueil / Accompagnement / solidarités,,,,Collectif
,2020,,45.4380805,4.3912074,Loire,Librairie Lune et l'Autre,https://www.librairielunetlautre.fr/,19 Rue Pierre Berard,Saint-Etienne,42000,19 Rue Pierre Berard Saint-Etienne 42000 ,"Librairie de quartier spécialisée en littérature et en jeunesse. Accueille des rencontres et échanges autour de la question de la migration, en lien avec Traces.",Equipements culturels / lieux / Champ culturel,,,,Librairie
,,2018,45.7601344,3.1263256,Auvergne,Videoformes,https://videoformes.com/,190 boulevard Gustave Flaubert,Clermont-Ferrand,63000,190 boulevard Gustave Flaubert Clermont-Ferrand 63000 ,"Structure de diffusion et de production artistique dans le domaine de l’art vidéo et des arts numérique. Festival international annuel présentant l’actualité de la création numérique. Thématiques de la migration, partenariats avec Traces.",Equipements culturels / lieux / Champ culturel,,,Arts Numériques,Festival
,,,45.825873,4.952179,,AFT les amis du Foyer de Trêve,http://aft-lesamisdutreve.org/,"194 rue des écoles C/O CESAME",Miribel,1700,"194 rue des écoles C/O CESAME Miribel 1700 ",,,,,,
,,,45.2402313,4.6735051,Ardèche,Groupe d'art contemporain,https://www.gac-annonay.fr/,1bvd de la République,Annonay,07100 ,1bvd de la République Annonay 07100  ,Art contemporain,,,,,
,,,45.7696947,4.8292054,Rhône,Théâtre le fou,,2  rue Fernand Rey  69001 Lyon,,,2  rue Fernand Rey  69001 Lyon   ,Théâtre,,,,,
,2020,,45.4744661,4.5117688,,MJC de Saint-Chamond,mjcstchamond.fr/,2 avenue de la Libération,Saint-Chamond,42400,2 avenue de la Libération Saint-Chamond 42400 ,Maison des Jeunes et de la Culture de Saint-Chamond. Participe à la biennale Traces 2020.,,,,,
,2020,,45.4744661,4.5117688,,Nouvel Espace Culturel et Citoyen,,2 avenue de la Libération,Saint-Chamond,42400,2 avenue de la Libération Saint-Chamond 42400 ,Projet porté par la MJC Saint-Chamond. Fait partie de la biennale Traces 2020.,,,,,
,,2018,44.61838969999999,4.394388800000001,Ardèche,Médiathèque Intercommunale d'Aubenas ,https://www.bm-aubenas.fr/,2 Fbg Camille Laprade,Aubenas,07200,2 Fbg Camille Laprade Aubenas 07200 ,"Événements en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Bibliothèque/médiathèque,Lieu
,,2018,45.4632985,4.7693942,,Mediatheque municipale L'@ancre,http://biblio.vienne-condrieu-agglomeration.fr/?fbclid=IwAR37xervTnze0WvlrzBplt5a-BLsQ-GzHcQRCQ97-fTuS62AOPkNWlpS_f8,2 impasse du pressoir,CONDRIEU,69420,2 impasse du pressoir CONDRIEU 69420 ,"Événements en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Bibliothèque/médiathèque,Lieu
,,2018,45.4142993,4.7904357,Drôme,Cie Candide,http://www.cie-candide.com/,2 place de la Mairie,Clonas sur Varèze,38550,2 place de la Mairie Clonas sur Varèze 38550 ,"Compagnie de théâtre. Ancrée dans l’exploration des contes et des récits de vie, sa démarche artistique est aussi nourrie par des matériaux d’archives et des dispositifs singuliers de collectages de paroles. A participé à la biennale Traces 2018.",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,2018,45.7695241,4.830167299999999,Rhône,Mairie du 1er arrondissement,https://mairie1.lyon.fr/,2 Place Sathonay,Lyon,69001,2 Place Sathonay Lyon 69001 ,"Partenaire de la compagnie de théâtre Grand Ensemble, accueille des événements en lien avec le réseau Traces.",Collectivités Territoriales,,,,Collectivité Territoriale
,,,45.754209,4.8478026,Rhône,AADN,https://aadn.org/,2 rue d'Arménie,Lyon,69003,2 rue d'Arménie Lyon 69003 ,collectif d'artistes d'art numérique,,,,,Lieu
,,2018,45.683229,4.4766093,Rhône,Médiathèque d'Aveize ,https://mediathequeaveize.blogspot.com/,2 rue de l'école,Aveize,69610,2 rue de l'école Aveize 69610 ,"Événements en lien avec les thématiques des migrations, partenariats avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,Bibliothèque/médiathèque,Lieu
,,2018,46.1990321,5.2170225,Ain,Cimade Ain,https://www.facebook.com/lacimadebeb/,2 Rue de Largillière,Bourg-en-Bresse,01000,2 Rue de Largillière Bourg-en-Bresse 01000 ,"La Cimade a pour but de manifester une solidarité active avec les personnes opprimées et exploitées. Elle défend la dignité et les droits des personnes réfugiées et migrantes quelles que soient leurs origines, leurs opinions politiques ou leurs convictions.",Accueil / Accompagnement / solidarités,,,,Association
,2020,,45.4510882,4.4036462,Loire,COMEDE 42,https://www.comede.org/le-comede-dans-la-loire/,2 Rue des Adieux,Saint-Etienne,42000,2 Rue des Adieux Saint-Etienne 42000 ,"Le Comede Loire propose un espace de parole, d’accueil et de soutien à l’orientation de personnes en souffrance psychique liée à l’exil, aux persécutions et violences vécues dans leur pays d’origine",,,,,
,,,45.907302,6.1287655,,Secours Catholique Annecy,http://hautesavoie.secours-catholique.org/,2 Rue du Général Ferrié,Annecy,74000,2 Rue du Général Ferrié Annecy 74000 ,"Aide au demandeurs d’asile (rédaction OFPRA, CNDA, aide juridctionnelle).",,,,,
