Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,,,45.8442138,4.854466899999999,Rhône,AAFD,http://aafdvaldesaone.wifeo.com/,1 Place Jean Moulin,Fontaines Saint-Martin,69270,1 Place Jean Moulin Fontaines Saint-Martin 69270 ,L'Association d'Aide aux Familles en Difficulté soutient toute famille déboutée du droit d'asil du Val de Saône pour la scolarité des enfants et les démarches administratives : aide matérielle et accompagnement.,,,,,
,,2018,44.6569416,4.7651541,Ardèche,Ville de Cruas,https://www.cruas.com/,1 Place René Cassin,Cruas,07350,1 Place René Cassin Cruas 07350 ,,Collectivités Territoriales,,,,Collectivité Territoriale
,2020,2018,45.4213791,4.0643095,Loire,Cinéma Cin’étoile,http://www.cines-haut-forez.fr/index6.php,1 route d'Augel,Saint Bonnet le Château,42380,1 route d'Augel Saint Bonnet le Château 42380 ,"Cin'étoile est un cinéma géré par l'association Ciné-Aizenay, qui diffuse des films engagés, notamment autour de la question de la migration. ",Equipements culturels / lieux / Champ culturel,,,Cinéma,Lieu
,2020,2018,45.8943453,3.1244012,Auvergne,AMTA,https://lafeuilleamta.fr/,1 route d’Ennezat,Riom,63204,1 route d’Ennezat Riom 63204 ,"Agence des Musiques des Territoires d’Auvergne. Collecte et valorise le patrimoine oral auvergnat. Actions interrogeant les traces anciennes ou récentes laissées par l’histoire, la fraternité entre les cultures et l’altérité. Participe à la construction de la biennale 2020.",Patrimoine / mémoire,Equipements culturels / lieux / Champ culturel,Recherche,Musique,Association
,,2018,45.5598148,5.915846,Savoie,LLSETI de l'Université de Savoie Mont Blanc,http://www.llseti.univ-smb.fr/,1 Route du Sergent Revel,Jacob-Bellecombette,73000,1 Route du Sergent Revel Jacob-Bellecombette 73000 ,"Unité de recherche Langages, Littératures, Sociétés - Études Transfrontalières et Internationales. Organise régulièrement des événements en collaboration avec le réseau Traces.",Recherche,,,,Institution
,,,46.2104463,5.2243921,Ain,Portail des Actions et Ressources Linguistiques en Auvergne Rhône Alpes Ecrit 01,"http://parlera.fr/wp/les-centres-ressources/ecrit-01/",1 rue Aristide Briand,Bourg-en-Bresse,01000,1 rue Aristide Briand Bourg-en-Bresse 01000 ,Met à la disposition de tou·te·s une information actualisée concernant l’apprentissage du français et la lutte contre l’illettrisme en région Auvergne-Rhône-Alpes.,,Education /Educ pop,,,
,,,45.1845128,5.724733899999999,Isère,Accueil Demandeurs d’Asile,http://ada-grenoble.org/,1 Rue Berthe de Boissieux,Grenoble,38000,1 Rue Berthe de Boissieux Grenoble 38000 ,"Accompagnement des personnes demandeurs d’asile, principalement celles qui ne sont pas hébergées par l’Etat. Préparation aux entretiens de l’OFPRA, aide aux démarches.",,,,,
,,,45.7537185,4.838835599999999,Rhône,Coup de pouce Université Lyon,http://www.cpu-lyon.com/,1 rue Bonald,Lyon,69007,1 rue Bonald Lyon 69007 ,"Aide les étudiant·e·s à l'université de Lyon dans leur travail universitaire, et leur offre un espace où ils trouvent des propositions d’activités culturelles, un lieu d’échange et de dialogue. Travaille principalement avec des étudiant·e·s étranger·e·s.",,,,,
,2020,,45.4411369,4.3813986,Loire,Ecole d'archi de Saint-Etienne,https://www.st-etienne.archi.fr/,1 Rue Buisson,Saint-Etienne,42000,1 Rue Buisson Saint-Etienne 42000 ,Association de Soutien aux Médias Libres,,,,,
,,,45.4338063,4.392666300000001,Loire,Globe 42,https://globe42.wordpress.com/,1 rue de la Mulatière ,Saint Etienne,42100,1 rue de la Mulatière  Saint Etienne 42100 ,"Espace ressource co-animé par des femmes migrantes et des professionnel-le-s de la santé, du social et de la culture pour faciliter l’accès aux soins, aux droits et à la culture des migrant-e-s, en développant des actions spécifiques  aux personnes âgées et leurs proches",,,,,
,,,44.728427,5.0232131,,ASTI Crest,http://astidrome-ardeche.blogspirit.com/,1 rue de la République,Crest,26400,1 rue de la République Crest 26400 ,"Associations de Solidarité avec Tou-te-s les Immigré-e-s. Assurer la défense des étranger(ère)s et immigré(e)s dont les droits ne sont pas respectés, accompagnement juridique et administratif, sensibilisation et lutte contre les discriminations.",,,,,
